country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","11-02-2026 10:00:00",28.695381,77.181665,NH3,7,8,8
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC","11-02-2026 10:00:00",28.695381,77.181665,OZONE,6,193,8
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","11-02-2026 10:00:00",28.732820,77.170633,PM2.5,88,471,345
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","11-02-2026 10:00:00",28.732820,77.170633,SO2,47,66,54
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","11-02-2026 10:00:00",28.580280,77.233829,PM2.5,77,416,291
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC","11-02-2026 10:00:00",28.580280,77.233829,SO2,67,90,77
India,Delhi,Delhi,"Lodhi Road, Delhi - IMD","11-02-2026 10:00:00",28.5918245,77.2273074,OZONE,21,159,31
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","11-02-2026 10:00:00",28.611281,77.237738,NH3,18,22,19
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC","11-02-2026 10:00:00",28.611281,77.237738,CO,7,145,66
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","11-02-2026 10:00:00",28.6573814,77.1585447,OZONE,NA,NA,NA
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","11-02-2026 10:00:00",28.530785,77.271255,NH3,11,21,14
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","11-02-2026 10:00:00",28.623763,77.287209,PM2.5,147,449,316
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","11-02-2026 10:00:00",28.623763,77.287209,OZONE,1,196,3
India,Delhi,Delhi,"Pusa, Delhi - DPCC","11-02-2026 10:00:00",28.639652,77.146275,PM2.5,80,417,269
India,Delhi,Delhi,"Pusa, Delhi - DPCC","11-02-2026 10:00:00",28.639652,77.146275,SO2,9,28,19
India,Delhi,Delhi,"Pusa, Delhi - IMD","11-02-2026 10:00:00",28.636110,77.173332,CO,95,145,122
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","11-02-2026 10:00:00",22.126650,83.483212,NO2,20,59,41
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB","11-02-2026 10:00:00",22.126650,83.483212,NH3,2,2,2
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB","11-02-2026 10:00:00",21.258815,81.578979,PM2.5,NA,NA,NA
